idx,trade_date,open,high,low,close,pre_close,vol,news
0,20150701,14.35,14.59,13.74,13.92,14.54,1835406.16,1
1,20150702,13.9,14.31,13.38,13.75,13.92,1982826.26,1
2,20150703,13.98,13.99,12.79,13.07,13.75,2597458.2,1
3,20150706,14.3,14.31,13.29,13.88,13.07,3381526.67,1
4,20150707,13.66,14.65,13.21,14.65,13.88,4808311.89,1
5,20150708,13.81,14,13.19,13.19,14.65,4996696.94,1
6,20150709,13.19,14.44,12.11,14.26,13.19,4344355.42,1
7,20150710,13.85,15.36,13.61,14.86,14.26,4650987.78,1
8,20150713,14.4,14.89,14.12,14.44,14.86,3268196.05,1
9,20150714,14.2,14.38,13.51,13.87,14.44,2580229.55,1
10,20150715,13.66,13.96,13.4,13.58,13.87,1626423.18,1
11,20150716,13.6,13.76,13.42,13.6,13.58,1388939.85,1
12,20150717,13.66,13.94,13.53,13.82,13.6,1680637.66,1
13,20150720,13.8,13.8,13.53,13.6,13.82,1358683.08,1
14,20150721,13.51,13.64,13.38,13.57,13.6,1131643.52,1
15,20150722,13.49,13.54,13.34,13.52,13.57,1138090.62,1
16,20150723,13.46,13.75,13.41,13.67,13.52,1483696.14,1
17,20150724,13.68,13.7,13.32,13.38,13.67,1339309.97,1
18,20150727,13.25,13.32,12.04,12.44,13.38,1787859.18,1
19,20150728,12.19,12.76,12.15,12.62,12.44,2011200.81,1
20,20150729,12.6,12.62,12.38,12.6,12.62,971682.92,1
21,20150730,12.61,12.64,12.23,12.26,12.6,770278.94,1
22,20150731,12.16,12.42,12.02,12.36,12.26,1202746.87,1
23,20150803,12.2,12.85,12.15,12.82,12.36,1405122.71,1
24,20150804,12.77,12.99,12.59,12.86,12.82,774937.58,1
25,20150805,12.8,12.95,12.57,12.59,12.86,551802.37,1
26,20150806,12.5,12.73,12.43,12.53,12.59,450218.45,1
27,20150807,12.61,12.72,12.54,12.61,12.53,622010.3,1
28,20150810,12.66,12.99,12.55,12.92,12.61,1053111.95,1
29,20150811,12.91,12.95,12.79,12.84,12.92,828493.36,1
30,20150812,12.69,12.77,12.56,12.57,12.84,686822.07,1
31,20150813,12.51,12.67,12.42,12.57,12.57,606344.41,1
32,20150814,12.69,12.75,12.58,12.64,12.57,823789.29,0
33,20150817,12.61,12.69,12.45,12.54,12.64,679642.57,1
34,20150818,12.5,12.74,11.95,12.27,12.54,1176324.41,1
35,20150819,12.1,12.23,11.9,12.23,12.27,958894.23,0
36,20150820,12.17,12.17,11.9,12.05,12.23,677634.39,0
37,20150821,11.9,11.99,11.46,11.5,12.05,933367.84,0
38,20150824,11.1,11.17,10.35,10.35,11.5,1518029.68,0
39,20150825,9.85,10.35,9.32,9.46,10.35,2192333.75,1
40,20150826,9.6,10.23,9.3,9.91,9.46,2491919.59,1
41,20150827,10.16,10.9,9.86,10.8,9.91,1849235.65,1
42,20150828,10.89,11.09,10.55,10.83,10.8,1608029.69,1
43,20150831,10.71,11.07,10.48,11.07,10.83,1464297.25,1
44,20150901,10.9,11.61,10.61,11.57,11.07,2657661.35,1
45,20150902,11.18,12,11.06,11.84,11.57,2815746.76,1
46,20150907,11.55,11.56,10.89,10.89,11.84,1376110.64,1
47,20150908,10.88,11.15,10.59,11,10.89,747292.45,1
48,20150909,11.03,11.19,10.88,11.1,11,851073.89,1
49,20150910,11,11.18,10.94,11.05,11.1,465205.63,1
50,20150911,11.02,11.12,10.88,10.96,11.05,426450.78,1
51,20150914,10.99,11,10.45,10.87,10.96,756452.73,1
52,20150915,10.69,10.85,10.5,10.57,10.87,542839,1
53,20150916,10.59,11.08,10.52,10.9,10.57,569243.77,1
54,20150917,10.85,11.14,10.77,10.77,10.9,620798.54,1
55,20150918,10.84,10.96,10.73,10.81,10.77,318272.82,1
56,20150921,10.7,10.89,10.65,10.82,10.81,386111.11,1
57,20150922,10.83,11.06,10.82,10.96,10.82,492955.6,1
58,20150923,10.86,10.91,10.68,10.7,10.96,371150.84,1
59,20150924,10.76,10.81,10.67,10.71,10.7,258632.55,1
60,20150925,10.69,10.71,10.45,10.55,10.71,446420.6,1
61,20150928,10.56,10.59,10.43,10.53,10.55,199087.27,1
62,20150929,10.45,10.56,10.32,10.38,10.53,333603.56,1
63,20150930,10.4,10.59,10.39,10.49,10.38,364659.73,0
64,20151008,10.85,10.89,10.7,10.7,10.49,494070.85,1
65,20151009,10.75,10.95,10.72,10.9,10.7,474612.06,1
66,20151012,10.96,11.38,10.91,11.23,10.9,849665.15,0
67,20151013,11.2,11.26,11.09,11.13,11.23,359798.19,1
68,20151014,11.04,11.15,10.94,10.98,11.13,418980.65,1
69,20151015,10.95,11.17,10.94,11.17,10.98,485900.5,1
70,20151016,11.21,11.3,11.16,11.23,11.17,570001.45,1
71,20151019,11.27,11.35,11.15,11.26,11.23,723371.53,1
72,20151020,11.2,11.38,11.19,11.32,11.26,715163.28,0
73,20151021,11.29,11.75,11.18,11.22,11.32,1332629.04,0
74,20151022,11.25,11.4,11.18,11.33,11.22,822805.73,1
75,20151023,11.39,11.53,11.34,11.47,11.33,937425.11,1
76,20151026,11.6,11.81,11.44,11.52,11.47,1085917.54,0
77,20151027,11.5,11.64,11.34,11.48,11.52,580436.37,0
